iter	Passed	Remaining
401	13435	19985
402	13466	19949
403	13496	19911
404	13527	19873
405	13558	19836
406	13587	19797
407	13618	19759
408	13650	19724
409	13680	19686
410	13710	19648
411	13740	19610
412	13771	19573
413	13803	19538
414	13833	19500
415	13867	19467
416	13899	19432
417	13932	19398
418	13963	19362
419	13994	19325
420	14024	19287
421	14053	19249
422	14084	19211
423	14114	19173
424	14143	19135
425	14174	19099
426	14207	19065
427	14241	19032
428	14271	18995
429	14301	18957
430	14333	18922
431	14363	18885
432	14393	18848
433	14424	18811
434	14456	18776
435	14486	18739
436	14516	18701
437	14546	18664
438	14576	18627
439	14606	18590
440	14637	18553
441	14671	18522
442	14702	18485
443	14732	18448
444	14762	18412
445	14792	18374
446	14822	18337
447	14852	18300
448	14888	18271
449	14920	18235
450	14949	18198
451	14981	18163
452	15011	18126
453	15041	18089
454	15073	18055
455	15103	18018
456	15137	17985
457	15170	17952
458	15205	17921
459	15238	17888
460	15268	17851
461	15299	17815
462	15328	17778
463	15358	17741
464	15390	17707
465	15420	17671
466	15452	17636
467	15485	17603
468	15515	17567
469	15547	17532
470	15578	17497
471	15609	17461
472	15639	17425
473	15668	17387
474	15698	17350
475	15730	17317
476	15761	17281
477	15791	17245
478	15822	17209
479	15852	17173
480	15887	17142
481	15918	17107
482	15948	17071
483	15980	17036
484	16010	17001
485	16040	16964
486	16069	16927
487	16100	16891
488	16129	16855
489	16160	16820
490	16192	16786
491	16225	16753
492	16258	16719
493	16291	16687
494	16321	16651
495	16351	16615
496	16381	16578
497	16411	16543
498	16442	16508
499	16472	16472
500	16505	16439
501	16536	16404
502	16567	16370
503	16598	16334
504	16629	16299
505	16664	16268
506	16694	16233
507	16726	16199
508	16757	16164
509	16787	16128
510	16818	16094
511	16849	16059
512	16880	16024
513	16909	15988
514	16942	15955
515	16972	15920
516	17003	15885
517	17036	15852
518	17068	15819
519	17099	15784
520	17132	15751
521	17168	15720
522	17209	15696
523	17247	15667
524	17281	15635
525	17314	15602
526	17348	15571
527	17381	15538
528	17415	15505
529	17447	15472
530	17483	15442
531	17520	15412
532	17552	15378
533	17584	15344
534	17614	15309
535	17646	15275
536	17677	15241
537	17709	15208
538	17739	15172
539	17769	15137
540	17800	15102
541	17831	15068
542	17868	15038
543	17897	15002
544	17929	14969
545	17960	14934
546	17992	14900
547	18023	14865
548	18053	14830
549	18083	14795
550	18114	14761
551	18143	14725
552	18174	14690
553	18207	14657
554	18242	14627
555	18284	14601
556	18316	14567
557	18348	14534
558	18381	14501
559	18411	14466
560	18441	14431
561	18472	14396
562	18502	14361
563	18535	14328
564	18568	14296
565	18599	14261
566	18629	14226
567	18659	14191
568	18688	14156
569	18719	14121
570	18752	14088
571	18782	14054
572	18813	14019
573	18845	13986
574	18875	13951
575	18904	13915
576	18935	13881
577	18966	13847
578	18996	13812
579	19026	13778
580	19058	13744
581	19089	13710
582	19120	13675
583	19152	13643
584	19188	13612
585	19234	13589
586	19271	13559
587	19304	13526
588	19339	13495
589	19375	13464
590	19409	13431
591	19445	13401
592	19480	13370
593	19514	13338
594	19554	13310
595	19591	13280
596	19628	13249
597	19666	13220
598	19699	13187
599	19734	13156
600	19769	13124
601	19804	13093
602	19847	13066
603	19885	13037
604	19921	13006
605	19962	12978
606	20002	12950
607	20042	12921
608	20084	12894
609	20132	12871
610	20175	12844
611	20216	12816
612	20265	12793
613	20303	12764
614	20351	12740
615	20392	12711
616	20428	12681
617	20464	12649
618	20500	12618
619	20537	12587
620	20574	12556
621	20609	12524
622	20644	12492
623	20682	12462
624	20723	12434
625	20766	12406
626	20810	12379
627	20863	12358
628	20905	12330
629	20939	12297
630	20971	12263
631	21001	12228
632	21032	12193
633	21062	12159
634	21092	12124
635	21122	12089
636	21157	12056
637	21198	12028
638	21245	12002
639	21278	11969
640	21309	11934
641	21339	11899
642	21369	11864
643	21400	11829
644	21429	11794
645	21460	11759
646	21490	11725
647	21521	11690
648	21554	11657
649	21586	11623
650	21617	11589
651	21647	11554
652	21677	11519
653	21711	11486
654	21741	11451
655	21771	11416
656	21802	11382
657	21834	11348
658	21863	11313
659	21894	11278
660	21927	11245
661	21958	11211
662	21990	11177
663	22020	11143
664	22051	11108
665	22082	11074
666	22114	11040
667	22147	11007
668	22178	10973
669	22212	10940
670	22247	10908
671	22282	10876
672	22316	10843
673	22349	10809
674	22385	10778
675	22416	10743
676	22446	10709
677	22478	10675
678	22509	10641
679	22539	10607
680	22570	10572
681	22601	10538
682	22633	10504
683	22665	10471
684	22697	10437
685	22728	10403
686	22759	10369
687	22792	10336
688	22823	10302
689	22854	10267
690	22884	10233
691	22916	10199
692	22946	10165
693	22976	10130
694	23008	10097
695	23040	10063
696	23074	10030
697	23105	9996
698	23135	9962
699	23165	9928
700	23205	9898
701	23243	9866
702	23278	9834
703	23309	9800
704	23340	9766
705	23370	9732
706	23400	9697
707	23430	9663
708	23463	9630
709	23494	9596
710	23526	9562
711	23559	9529
712	23595	9497
713	23626	9463
714	23659	9430
715	23689	9396
716	23721	9362
717	23752	9329
718	23785	9295
719	23817	9262
720	23848	9228
721	23877	9194
722	23909	9160
723	23939	9126
724	23970	9092
725	24003	9058
726	24032	9024
727	24063	8990
728	24094	8956
729	24125	8922
730	24155	8888
731	24187	8855
732	24226	8824
733	24265	8793
734	24295	8759
735	24325	8725
736	24356	8691
737	24392	8659
738	24424	8626
739	24455	8592
740	24485	8558
741	24516	8524
742	24547	8491
743	24582	8458
744	24612	8424
745	24642	8390
746	24672	8356
747	24703	8322
748	24733	8288
749	24763	8254
750	24800	8222
751	24831	8189
752	24862	8155
753	24892	8121
754	24924	8088
755	24958	8055
756	24988	8021
757	25020	7988
758	25051	7954
759	25083	7921
760	25114	7887
761	25145	7853
762	25178	7820
763	25216	7789
764	25250	7756
765	25281	7723
766	25312	7689
767	25342	7655
768	25374	7622
769	25404	7588
770	25434	7554
771	25464	7520
772	25495	7486
773	25527	7453
774	25558	7420
775	25593	7387
776	25625	7354
777	25655	7320
778	25685	7286
779	25716	7253
780	25749	7220
781	25783	7187
782	25814	7154
783	25844	7120
784	25876	7087
785	25908	7053
786	25938	7020
787	25972	6987
788	26007	6955
789	26039	6921
790	26071	6888
791	26103	6855
792	26134	6822
793	26165	6788
794	26200	6756
795	26238	6724
796	26277	6693
797	26313	6660
798	26345	6627
799	26378	6594
800	26411	6561
801	26442	6528
802	26475	6495
803	26506	6461
804	26539	6428
805	26571	6395
806	26601	6361
807	26633	6328
808	26664	6295
809	26694	6261
810	26727	6228
811	26759	6195
812	26791	6162
813	26821	6128
814	26859	6096
815	26889	6063
816	26920	6029
817	26953	5996
818	26984	5963
819	27016	5930
820	27049	5897
821	27080	5864
822	27111	5830
823	27142	5797
824	27172	5763
825	27215	5732
826	27255	5701
827	27289	5668
828	27321	5635
829	27353	5602
830	27388	5570
831	27420	5536
832	27451	5503
833	27485	5470
834	27516	5437
835	27549	5404
836	27580	5371
837	27611	5337
838	27644	5304
839	27674	5271
840	27708	5238
841	27739	5205
842	27773	5172
843	27805	5139
844	27838	5106
845	27869	5073
846	27901	5040
847	27934	5007
848	27964	4973
849	27995	4940
850	28028	4907
851	28061	4874
852	28096	4841
853	28127	4808
854	28159	4775
855	28193	4742
856	28230	4710
857	28268	4678
858	28300	4645
859	28331	4612
860	28364	4579
861	28395	4545
862	28428	4512
863	28466	4480
864	28495	4447
865	28527	4414
